task_id,T,x(Al),x(Mg),x(Si),phase_name,f(@AlMg_Beta),f(@AlMg_Eps),f(@AlMg_Gamma),f(@Diamond),f(@Fcc),f(@Hcp),f(@Mg2Si)
,C,%,,,,,,,,,,
0,400,100,,,Fcc,,,,,1.0,,
1,400,90,,10.0,Fcc+Diamond,,,,0.09768954283,0.9023100000000001,,
2,400,80,,20.0,Diamond+Fcc,,,,0.197946,0.8020537188,,
3,400,70,,30.0,Diamond+Fcc,,,,0.298203,0.7017969804,,
4,400,60,,40.0,Diamond+Fcc,,,,0.39846,0.601540242,,
5,400,50,,50.0,Diamond+Fcc,,,,0.498716,0.5012835036,,
6,400,40,,60.0,Diamond+Fcc,,,,0.598973,0.4010267652,,
7,400,30,,70.0,Diamond+Fcc,,,,0.69923,0.3007700268,,
8,400,20,,80.0,Diamond+Fcc,,,,0.799487,0.2005132884,,
9,400,10,,90.0,Diamond+Fcc,,,,0.8997430000000001,0.10025655,,
10,400,5,,95.0,Diamond+Fcc,,,,0.9498719999999999,0.0501281808,,
11,400,90,10.0,,Fcc,,,,,1.0,,
12,400,80,10.0,10.0,Mg2Si+Diamond+Fcc,,,,0.04884852176,0.8038843452,,0.147267
13,400,70,10.0,20.0,Diamond+Mg2Si+Fcc,,,,0.148992,0.7033987821,,0.1476087414
14,400,60,10.0,30.0,Diamond+Mg2Si+Fcc,,,,0.24913600000000002,0.6029132189,,0.1479503499
15,400,50,10.0,40.0,Diamond+Mg2Si+Fcc,,,,0.34928000000000003,0.5024276557,,0.1482919583
16,400,40,10.0,50.0,Diamond+Mg2Si+Fcc,,,,0.449424,0.40194209259999997,,0.1486335668
17,400,30,10.0,60.0,Diamond+Mg2Si+Fcc,,,,0.5495680000000001,0.3014565294,,0.1489751752
18,400,20,10.0,70.0,Diamond+Mg2Si+Fcc,,,,0.649712,0.20097096620000002,,0.14931678369999998
19,400,10,10.0,80.0,Diamond+Mg2Si+Fcc,,,,0.7498560000000001,0.100485403,,0.1496583921
20,400,,10.0,90.0,Mg2Si,,,,,,,1.0
21,400,80,20.0,,Fcc+AlMg_Beta,0.26791563960000003,,,,0.7320840000000001,,
